DOCID,TOPICID,DOC TITLE,TOPIC NAME,,,,ID,TOPIC
120,4,"Act 173 Advisory Group Meeting Minutes: April 4, 2022",K-12,,,,,
65,10,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019",Census Based,,,,,
73,8,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,High School,,,,,
96,3,"Act 173 Advisory Group Draft Minutes from June 7, 2021",Legistlative,,,,,
209,12,City of Winooski:  Supporting Adjusted Student Weights in Vermont’s Education Funding,Funding,,,,,
86,10,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Census Based,,,,,
325,1,"State Board of Education Southwest Vermont Union Elementary School District November 30, 2018 (Act 46)",Funding,,,,,
119,4,"Act 173 Advisory Group Meeting Agenda: September 12, 2022",K-12,,,,,
166,4,"Act 173 Section D Forms FY 2022 September 3,2020",K-12,,,,,
328,2,"State Board of Education Transition Timeline FAQs January 15, 2019",Census Based,,,,,
313,3,"State Board of Education News Letter to General Assembly from Secretary French and Dr. Kolbe regarding Background and Remaining Points of Disagreement in SBE/AOE Legislative Report. August 4, 2022",Legistlative,,,,,
289,9,"State Board of Education Guidance: Failure of a New Union School District to Adopt a Budget June 12, 2019",Census Based,,,,,
309,12,"State Board of Education Memo. Adopted Rule 2200, Independent School Program Approval, Selected Rules Effective May 10, 2022. April 28, 2022",Funding,,,,,
110,5,"Act 173 Advisory Group February 1, 2021 Act 173 Weighting Study Presentation by Tammy Kolbe",Research,,,,,
140,7,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",Elementary,,,,,
238,8,"Legislative Report: Expanding and Strengthening Best-Practice Supports for Students Who Struggle: Preliminary Highlights for Discussion (DMG Report) January 10, 2018",High School,,,,,
324,3,"State Board of Education Secretary's Proposed Plan under Act 46, Section 10: Errata June 7, 2018",Legistlative,,,,,
333,4,SWIFT proposals/experiment (2-1-2016),K-12,,,,,
198,11,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",Public Input,,,,,
73,5,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,Research,,,,,
285,9,"State Board of Education Articles of Agreement: Windham Southeast UUSD November 30, 2018 (Act 46)",Census Based,,,,,
273,7,"State Board of Education Act 46 State Board of Education Final Order Map November 30, 2018",Elementary,,,,,
100,2,"Act 173 Advisory Group Draft Minutes from October 5, 2020",Census Based,,,,,
150,10,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Census Based,,,,,
326,12,"State Board of Education Technical Center Regions and Supervisory Unions Map May 31, 2018",Funding,,,,,
294,1,"State Board of Education Memo  Act 46 Schedule Memo April 4, 2018",Funding,,,,,
162,3,One member selected by the Vermont Legal Aid Disability Law Project;,Legistlative,,,,,
104,6,"Act 173 Advisory Group Draft October 5, 2020 VTmtss Framework Tools",Advisory,,,,,
215,6,EdPolicy: VT Tuitioning Program,Advisory,,,,,
34,2,"Act 173 Advisory Group Agenda - August 3, 2020",Census Based,,,,,
201,11,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Public Input,,,,,
326,1,"State Board of Education Technical Center Regions and Supervisory Unions Map May 31, 2018",Funding,,,,,
91,14,"Act 173 Advisory Group Draft Minutes from December 7, 2020",Funding,,,,,
323,6,"State Board of Education Secretary's Proposed Plan under Act 46, Sec. 10 June 1, 2018",Advisory,,,,,
276,9,"State Board of Education APPENDIX A Voluntary Mergers – July 1, 2015 through June 30, 2018  June 5, 2018",Census Based,,,,,
1,7,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,Elementary,,,,,
156,10,"Census-Based Funding Advisory Group Agenda - May 6, 2019 (Act 173 Advisory Group)",Census Based,,,,,
189,12,"Census-Based Funding Advisory Group Approved Minutes from March 4, 2019 (Act 173 Advisory Group)",Funding,,,,,
346,12,,Funding,,,,,
260,12,"Report to the House and Senate Committees on Education, the House Committee on Ways and Means, and the Senate Committee on Finance",Funding,,,,,
322,9,"State Board of Education News. State Board of Education-Statement of Preparedness for Ripton School District August 12, 2022",Census Based,,,,,
201,11,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Public Input,,,,,
180,8,"CBFAG - Professional Learning Sequence October 12,2018 (Act 173 Advisory Group)",High School,,,,,
127,1,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Funding,,,,,
159,9," Act 173 Section B Forms FY 2023 September 3,2020",Census Based,,,,,
99,12,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Funding,,,,,
16,13,"Public Assets Institute BLOG:  Student weighting is more complicated than it seems (Jack Hoffman on June 10, 2021)",Regulation,,,,,
143,12,"Act 173 Advisory Group UVM Presentation - Findings from Study of Pupil Weights in Vermont's Education Funding Formula  January 6, 2020",Funding,,,,,
102,10,"Act 173 Advisory Group Draft Minutes from September 16, 2019",Census Based,,,,,
111,5,"Act 173 Advisory Group February 1, 2021 Draft Rule 2200 as Approved by the Act 173 Advisory Group",Research,,,,,
242,7,"Mainstream Block Grant and Match Spent on Support and Remedial Services Sept 6,2018",Elementary,,,,,
182,3,"Census-Based Funding Advisory Group  Memo from Tom Lovett, Twila Perry, Mark Tashjian and Bill Bugg to the Census Based Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Legistlative,,,,,
170,11,AnLar...Supports VT Special Education Advisory Council (https://anlar.com/portfolio/vermont-special-education-advisory-council/),Public Input,,,,,
152,8,"Act 173 Advisory Group. DRAFT: Using AOE Tools and Resources to Support Local-level Resources to Act 173 February 7, 2022",High School,,,,,
4,4,Preliminary Education Fund Outlook (September 2012),K-12,,,,,
248,8,Member of Census-Based Funding Advisory Group::  The Executive Director of the Vermont Council of Special Education Administrators or designee,High School,,,,,
242,10,"Mainstream Block Grant and Match Spent on Support and Remedial Services Sept 6,2018",Census Based,,,,,
319,13,"State Board of Education News State Board of Education Member List July 26, 2022",Regulation,,,,,
308,2,"State Board of Education Memo.  State Board of Education-Statement of Preparedness for Ripton School District  August 12, 2022",Census Based,,,,,
320,11,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Public Input,,,,,
70,7,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Elementary,,,,,
88,3,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Legistlative,,,,,
293,4,State Board of Education Meetings for 2023 - 2024,K-12,,,,,
346,8,,High School,,,,,
213,5,"Date: Dec. 12, 1998  From: The Economist(Vol. 349, Issue 8098)",Research,,,,,
57,12,"Act 173 Advisory Group Approved Meeting Minutes - May 4th, 2020",Funding,,,,,
130,6,"Act 173 Advisory Group Meeting: September 12, 2022  Responses to public comments on the Draft Technical Manual For Use and Accounting of IDEA Part B Entitlement Grants and Draft Technical Manual for Documenting Maintenance of Effort",Advisory,,,,,
93,2,"Act 173 Advisory Group Draft Minutes from January 4, 2021",Census Based,,,,,
263,3,Just Saying No: Vermont Education Secretary Defies Lawmakers,Legistlative,,,,,
161,7,The Rise And Fall Of Vermont's One-Room Schoolhouses (podcast),Elementary,,,,,
173,3,Article:  The Citizen (Phil Scott),Legistlative,,,,,
95,10,"Act 173 Advisory Group Draft Minutes from July 24, 2019",Census Based,,,,,
150,3,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Legistlative,,,,,
309,11,"State Board of Education Memo. Adopted Rule 2200, Independent School Program Approval, Selected Rules Effective May 10, 2022. April 28, 2022",Public Input,,,,,
181,13,"CBFAG - Rulemaking Sub-Committee October 12,2018 (Act 173 Advisory Group)",Regulation,,,,,
16,1,"Public Assets Institute BLOG:  Student weighting is more complicated than it seems (Jack Hoffman on June 10, 2021)",Funding,,,,,
20,1,,Funding,,,,,
306,10,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",Census Based,,,,,
281,9,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ",Census Based,,,,,
25,3,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,Legistlative,,,,,
284,3,"State Board of Education Articles of Agreement: Windham Northeast UESD November 30, 2018 (Act 46)",Legistlative,,,,,
64,11,"Act 173 Advisory Group Approved Minutes: December 5, 2022",Public Input,,,,,
247,11,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Public Input,,,,,
164,1,"Act 173 of 2018 - Overview (Oct 12,2018)",Funding,,,,,
276,4,"State Board of Education APPENDIX A Voluntary Mergers – July 1, 2015 through June 30, 2018  June 5, 2018",K-12,,,,,
136,9,Act 173 Advisory Group Rule Series 2229 Enrollment Provisions.  03-03-22,Census Based,,,,,
180,7,"CBFAG - Professional Learning Sequence October 12,2018 (Act 173 Advisory Group)",Elementary,,,,,
259,3,"Report of the Census-Based Funding Advisory Group - January 8, 2021",Legistlative,,,,,
38,9,"Act 173 Advisory Group Agenda - February 7, 2022",Census Based,,,,,
327,11,"State Board of Education The Secretary's Proposed Plan Under Act 46, Sec. 10 June 1, 2018",Public Input,,,,,
117,7,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Elementary,,,,,
52,9,"Act 173 Advisory Group AHS Updates for Act 173 Advisory Workgroup November 4, 2019",Census Based,,,,,
333,10,SWIFT proposals/experiment (2-1-2016),Census Based,,,,,
150,4,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",K-12,,,,,
16,7,"Public Assets Institute BLOG:  Student weighting is more complicated than it seems (Jack Hoffman on June 10, 2021)",Elementary,,,,,
10,12,"Public Assets Institute BLOG:  A big opportunity to improve school funding (Jack Hoffman on February 24, 2022)",Funding,,,,,
211,5,Consensus Based Funding Models:  Baker and Ramsey (2010),Research,,,,,
215,2,EdPolicy: VT Tuitioning Program,Census Based,,,,,
298,8,"State Board of Education Memo State Board of Education Memo to the House and Senate Education Committees on Civics and Ethnic Studies March 21, 2018",High School,,,,,
162,14,One member selected by the Vermont Legal Aid Disability Law Project;,Funding,,,,,
61,13,"Act 173 Advisory Group Approved Minutes October 4, 2021",Regulation,,,,,
317,13,"State Board of Education News State Board of Education - Rule 2200 Public Comments April 4, 2022",Regulation,,,,,
64,13,"Act 173 Advisory Group Approved Minutes: December 5, 2022",Regulation,,,,,
265,3,"Special Education Expenditure Report for FY-2022 September 13,2021",Legistlative,,,,,
152,13,"Act 173 Advisory Group. DRAFT: Using AOE Tools and Resources to Support Local-level Resources to Act 173 February 7, 2022",Regulation,,,,,
327,2,"State Board of Education The Secretary's Proposed Plan Under Act 46, Sec. 10 June 1, 2018",Census Based,,,,,
38,10,"Act 173 Advisory Group Agenda - February 7, 2022",Census Based,,,,,
163,7,2023 VT 15 No. 22-AP-059,Elementary,,,,,
99,7,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Elementary,,,,,
194,7,"Census-Based Funding Advisory Group Draft Minutes from February 4, 2019 (Act 173 Advisory Group)",Elementary,,,,,
4,10,Preliminary Education Fund Outlook (September 2012),Census Based,,,,,
204,8,"Census-Based Funding Advisory Group Rulemaking Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)",High School,,,,,
51,11,"Act 173 Advisory Group Agenda: January 9, 2023",Public Input,,,,,
65,11,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019",Public Input,,,,,
154,14,"Act 173 Advisory Group. Local Comprehensive Assessment Systems - Act 173 Technical Guidance February 3, 2020",Funding,,,,,
146,1,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Funding,,,,,
269,10,"State Board of Education  Articles of Agreement: Orleans Central UESDNovember 30, 2018 (Act 46)",Census Based,,,,,
186,11,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Public Input,,,,,
232,12,History of Education in Vermont By George Gary Bush,Funding,,,,,
75,1,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Funding,,,,,
62,4,"Act 173 Advisory Group Approved Minutes October 7, 2019",K-12,,,,,
300,7,"State Board of Education Memo Interagency Committee on Administrative Rules Meeting Minutes: July 12, 2021  April 4, 2022",Elementary,,,,,
161,3,The Rise And Fall Of Vermont's One-Room Schoolhouses (podcast),Legistlative,,,,,
109,12,"Act 173 Advisory Group Draft Special Minutes from January 6, 2020",Funding,,,,,
96,8,"Act 173 Advisory Group Draft Minutes from June 7, 2021",High School,,,,,
345,13,Three lawsuits that will change Vermont education,Regulation,,,,,
360,2,Weekly Legislative Report,Census Based,,,,,
167,4,"Act 173 Technical Assicatance and Professional Learning Presentation April 1, 2019 (Act 173 Advisory Group)",K-12,,,,,
62,1,"Act 173 Advisory Group Approved Minutes October 7, 2019",Funding,,,,,
44,5,"Act 173 Advisory Group Agenda - March 1, 2021",Research,,,,,
307,14,"State Board of Education Memo. State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District August 11, 2022",Funding,,,,,
199,14,"Census-Based Funding Advisory Group IDEA Fiscal - Part II PowerPoint February 4, 2019 (Act 173 Advisory Group)",Funding,,,,,
24,14,Act 173 Advisory Group  2200 Series Rulemaking Required for Approved Independent Schools by Act 173 of 2018,Funding,,,,,
75,11,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Public Input,,,,,
291,6,"State Board of Education List of Topics Provided to Superintendents to Prepare for Section 10 Conversations May 31, 2018",Advisory,,,,,
109,12,"Act 173 Advisory Group Draft Special Minutes from January 6, 2020",Funding,,,,,
260,2,"Report to the House and Senate Committees on Education, the House Committee on Ways and Means, and the Senate Committee on Finance",Census Based,,,,,
160,6,"State Board of Education Articles of Agreement: Oxbow UUSD November 30, 2018 (Act 46)",Advisory,,,,,
339,10,,Census Based,,,,,
41,1,"Act 173 Advisory Group Agenda - July 13, 2020",Funding,,,,,
153,11,"Act 173 Advisory Group. AOE Act 173 Update. October 4, 2021",Public Input,,,,,
64,14,"Act 173 Advisory Group Approved Minutes: December 5, 2022",Funding,,,,,
280,3,"State Board of Education Articles of Agreement: Enosburgh-Richford UUSD November 30, 2018 (Act 46)",Legistlative,,,,,
244,10,Making schools equal: Vermont shows it ain't easy.,Census Based,,,,,
118,11,"Act 173 Advisory Group Meeting Agenda: February 6, 2023",Public Input,,,,,
56,10,"Act 173 Advisory Group Approved Meeting Minutes - July 13, 2020",Census Based,,,,,
351,8,Vermont Secretary of State: Preserved documents,High School,,,,,
198,5,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",Research,,,,,
349,7,,Elementary,,,,,
212,9,Considerations for Establishing Categorical Aid Programs to Adjust for Cost Differentials Among Districts & Schools,Census Based,,,,,
122,4,"Act 173 Advisory Group Meeting: December 5, 2022.  Memo from Secretary French: Review of Flexibility in Technical Guidance",K-12,,,,,
87,7,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Elementary,,,,,
342,3,Vermont Annual State Application Under Part B of the Individuals with Disabilities Education Act as Amended in 2004 for Federal Fiscal Year 2019,Legistlative,,,,,
196,14,"Census-Based Funding Advisory Group Draft Minutes from March 4, 2019 (Act 173 Advisory Group)",Funding,,,,,
84,4,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",K-12,,,,,
274,13,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Regulation,,,,,
176,12,Bennington Banner:  Legislative update: Preserving Vermont's unique education landscape (By Rep. Seth Bongartz),Funding,,,,,
93,4,"Act 173 Advisory Group Draft Minutes from January 4, 2021",K-12,,,,,
220,9,Education in Vermont (Wikipedia),Census Based,,,,,
148,13,"Act 173 Advisory Group-Draft Meeting Minutes February 7, 2022",Regulation,,,,,
131,13,"Act 173 Advisory Group Meeting: September 12, 2022.  Act 173 Advisory Group Workplan",Regulation,,,,,
196,13,"Census-Based Funding Advisory Group Draft Minutes from March 4, 2019 (Act 173 Advisory Group)",Regulation,,,,,
27,7,"Act 173 Advisory Group  VLA-DLP Letter to Roy and French - Adoption of MTSS Rule January 6, 2020",Elementary,,,,,
174,11,"Article/Pod Cast:  VOX (Nov 26, 2018)",Public Input,,,,,
136,3,Act 173 Advisory Group Rule Series 2229 Enrollment Provisions.  03-03-22,Legistlative,,,,,
292,8,State Board of Education Meetings for 2022 - 2023,High School,,,,,
131,14,"Act 173 Advisory Group Meeting: September 12, 2022.  Act 173 Advisory Group Workplan",Funding,,,,,
119,2,"Act 173 Advisory Group Meeting Agenda: September 12, 2022",Census Based,,,,,
81,11,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",Public Input,,,,,
88,2,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Census Based,,,,,
145,8,"Act 173 Advisory Group VISA Draft 2360-Series Rule Changes February 3, 2020",High School,,,,,
275,5,"State Board of Education Act 46: State Board of Education's Final Report of Decisions and Order November 30, 2018
",Research,,,,,
335,4,The Commissioner of the Vermont Department of Mental Health or designee;,K-12,,,,,
80,10,"Act 173 Advisory Group Draft Meeting Minutes: January 3, 2022",Census Based,,,,,
78,1,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Funding,,,,,
261,4,Response to Questions Posed by the Task Force on Pupil Weighting,K-12,,,,,
197,2,"Census-Based Funding Advisory Group Draft Minutes from May 6, 2019 (Act 173 Advisory Group)",Census Based,,,,,
113,8,"Act 173 Advisory Group Meeting Agenda - March 7, 2022",High School,,,,,
125,7,"Act 173 Advisory Group Meeting: May 1, 2023.  Act 173 Advisory Group Agenda: May 1, 2023",Elementary,,,,,
340,9,US Senate Committee: HELP,Census Based,,,,,
38,8,"Act 173 Advisory Group Agenda - February 7, 2022",High School,,,,,
96,13,"Act 173 Advisory Group Draft Minutes from June 7, 2021",Regulation,,,,,
116,14,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Funding,,,,,
261,8,Response to Questions Posed by the Task Force on Pupil Weighting,High School,,,,,
333,13,SWIFT proposals/experiment (2-1-2016),Regulation,,,,,
307,5,"State Board of Education Memo. State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District August 11, 2022",Research,,,,,
51,13,"Act 173 Advisory Group Agenda: January 9, 2023",Regulation,,,,,
333,8,SWIFT proposals/experiment (2-1-2016),High School,,,,,
206,13,"Census-Based Funding Advisory Group Summary of Agency of Education's Proposed Changes to Act 173  January 7, 2019 (Act 173 Advisory Group)",Regulation,,,,,
256,10,Vermont To Reimburse Families For Tuition To Private Religious Schools,Census Based,,,,,
71,13,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Regulation,,,,,
28,7,"Act 173 Advisory Group Act 173 - Disability Law Project Proposed Revisions #1 to Rule 1300 October 7, 2019",Elementary,,,,,
